Rank,Team,W,L,T,PCT,G,AB,H,BA,IP,R,ER,ERA,PO,A,E
1,UT Tyler (Lone Star),62,5,0,0.925,48,1302,475,0.365,425.2,102,73,1.2,1202,454,31
2,Francis Marion (Conference Carolinas),53,6,0,0.898,64,1727,621,0.36,408.2,108,72,1.23,1276,391,37
3,West Tex. A&M (Lone Star),56,8,0,0.875,26,688,247,0.359,410.1,101,75,1.28,1246,454,38
4,Central Okla. (Mid-America Intercollegiate),52,11,0,0.825,57,1559,558,0.358,425.2,96,80,1.32,1180,415,36
5,Augustana (SD) (NSIC),50,11,0,0.82,67,1683,587,0.349,358,97,82,1.6,1185,421,37
6,Southern Ark. (GAC),43,10,0,0.811,57,1552,535,0.345,366.1,124,93,1.78,1277,352,39
7,Tampa (Sunshine State),48,12,0,0.8,46,1277,438,0.343,394.1,125,104,1.85,1074,266,33
8,East Stroudsburg (PSAC),48,12,1,0.795,52,1404,480,0.342,384.1,127,103,1.88,958,421,35
9,Pace (NE10),48,13,0,0.787,64,1790,610,0.341,376.1,158,107,1.99,986,343,34
10,Western Wash. (Great Northwest),47,13,0,0.783,59,1617,549,0.34,383.2,150,110,2.01,1168,414,42
11,Tuskegee (SIAC),27,8,0,0.771,58,1573,534,0.339,400.2,144,116,2.03,971,375,36
12,Angelo St. (Lone Star),47,14,0,0.77,60,1669,565,0.339,383,152,111,2.03,1113,270,37
13,Saginaw Valley (GLIAC),49,15,0,0.766,57,1591,535,0.336,389.1,142,113,2.03,1183,382,43
14,AUM (Gulf South),41,13,0,0.759,54,1449,485,0.335,395.2,149,116,2.05,980,391,38
15,Tiffin (G-MAC),43,14,0,0.754,42,1148,383,0.334,376.1,140,113,2.1,1142,504,46
16,North Georgia (Peach Belt),48,16,0,0.75,54,1407,469,0.333,298,122,91,2.14,1071,451,44
16,Winona St. (NSIC),42,14,0,0.75,54,1407,469,0.333,298,122,91,2.14,1071,451,44
18,Saint Leo (Sunshine State),40,14,0,0.741,56,1489,494,0.332,395.1,143,125,2.21,954,376,39
19,Colo. Christian (RMAC),44,16,0,0.733,63,1612,533,0.331,326,142,105,2.25,1073,476,46
20,St. Cloud St. (NSIC),41,15,0,0.732,57,1636,540,0.33,392,171,127,2.27,1238,472,51
21,Cal St. East Bay (CCAA),40,15,0,0.727,48,1322,436,0.33,401.1,170,135,2.35,990,344,40
22,Rogers St. (Mid-America Intercollegiate),39,15,0,0.722,56,1525,501,0.329,348,176,119,2.39,1194,371,47
23,CUI (PacWest),41,16,0,0.719,60,1649,540,0.327,327,136,112,2.4,1071,424,45
24,Goldey-Beacom (CACC),40,16,0,0.714,62,1700,556,0.327,393.2,166,135,2.4,1204,401,49
25,Nova Southeastern (Sunshine State),39,16,0,0.709,51,1367,447,0.327,393.1,158,135,2.4,1076,419,46
26,MSU Denver (RMAC),41,17,0,0.707,56,1504,489,0.325,372.1,161,128,2.41,1038,283,41
27,Pittsburg St. (Mid-America Intercollegiate),38,16,0,0.704,46,1275,414,0.325,403.2,176,139,2.41,1211,332,48
28,Colorado Mesa (RMAC),40,17,0,0.702,54,1509,488,0.323,319.1,157,110,2.41,1007,438,45
29,Minn. Duluth (NSIC),39,17,0,0.696,46,1266,409,0.323,379.2,171,131,2.42,978,237,38
30,Kutztown (PSAC),43,19,0,0.694,51,1399,451,0.322,419.2,204,145,2.42,800,345,36
31,West Florida (Gulf South),38,17,0,0.691,49,1341,432,0.322,371,145,129,2.43,1138,481,51
32,Charleston (WV) (MEC),37,17,0,0.685,58,1580,506,0.32,363.2,144,127,2.44,810,267,34
33,Harding (GAC),39,18,0,0.684,55,1543,492,0.319,357.2,140,125,2.45,1091,351,46
33,Hillsdale (G-MAC),39,18,0,0.684,55,1543,492,0.319,357.2,140,125,2.45,1091,351,46
35,Rollins (Sunshine State),30,14,0,0.682,50,1390,442,0.318,357,155,126,2.47,1060,300,44
36,Findlay (G-MAC),34,16,0,0.68,58,1608,511,0.318,405.2,207,145,2.5,1223,468,55
37,Glenville St. (MEC),36,17,0,0.679,28,747,237,0.317,415.1,165,153,2.58,1129,316,47
37,Okla. Baptist (GAC),36,17,0,0.679,28,747,237,0.317,415.1,165,153,2.58,1129,316,47
39,Bridgeport (CACC),33,16,0,0.673,35,859,272,0.317,353.2,163,131,2.59,1114,478,52
40,Mo. Southern St. (Mid-America Intercollegiate),39,19,0,0.672,56,1562,494,0.316,353.1,160,131,2.6,760,340,36
41,Lenoir-Rhyne (SAC),38,19,0,0.667,53,1393,440,0.316,371.2,179,138,2.6,993,428,47
41,Tusculum (SAC),38,19,0,0.667,53,1393,440,0.316,371.2,179,138,2.6,993,428,47
41,Saint Martin's (Great Northwest),32,16,0,0.667,53,1393,440,0.316,371.2,179,138,2.6,993,428,47
41,Southern Wesleyan (Conference Carolinas),30,15,0,0.667,53,1393,440,0.316,371.2,179,138,2.6,993,428,47
45,Minnesota St. (NSIC),39,20,0,0.661,45,1199,376,0.314,364.2,201,137,2.63,1071,371,48
45,San Fran. St. (CCAA),39,20,0,0.661,45,1199,376,0.314,364.2,201,137,2.63,1071,371,48
47,Barry (Sunshine State),38,20,0,0.655,53,1462,458,0.313,364,162,138,2.65,1133,285,48
48,Mississippi Col. (Gulf South),36,19,0,0.655,55,1525,477,0.313,385.1,171,147,2.67,1043,431,50
48,Wilmington (DE) (CACC),36,19,0,0.655,55,1525,477,0.313,385.1,171,147,2.67,1043,431,50
50,Fairmont St. (MEC),36,19,1,0.652,57,1529,476,0.311,287.2,136,112,2.73,1151,397,53
51,Cal St. San Marcos (CCAA),43,23,0,0.652,50,1385,431,0.311,363.1,166,144,2.77,899,348,43
52,Biola (PacWest),39,21,0,0.65,49,1345,418,0.311,384,200,153,2.79,1117,360,51
53,Lewis (GLVC),37,20,0,0.649,55,1506,468,0.311,346,168,138,2.79,1211,547,61
54,UIndy (GLVC),42,23,0,0.646,60,1651,513,0.311,346.2,194,139,2.81,1033,403,50
55,Okla. Christian (Lone Star),38,21,0,0.644,53,1418,438,0.309,265.1,136,108,2.85,796,351,40
56,Albany St. (GA) (SIAC),27,15,0,0.643,50,1386,427,0.308,338.1,207,139,2.88,1000,317,46
57,West Chester (PSAC),33,19,0,0.635,54,1536,473,0.308,328.2,176,136,2.9,1048,410,51
58,Seton Hill (PSAC),29,17,0,0.63,61,1535,472,0.307,321,163,134,2.92,1254,489,61
59,Lincoln Memorial (SAC),34,20,0,0.63,52,1441,443,0.307,371,209,158,2.98,913,315,43
60,Wingate (SAC),39,23,0,0.629,43,1178,362,0.307,288,174,123,2.99,1231,474,60
61,North Greenville (Conference Carolinas),35,21,0,0.625,52,1362,418,0.307,439.2,242,189,3.01,1099,292,49
61,Winston-Salem (CIAA),20,12,0,0.625,52,1362,418,0.307,439.2,242,189,3.01,1099,292,49
63,Ill. Springfield (GLVC),33,20,0,0.623,49,1329,407,0.306,358.2,214,155,3.03,1014,288,46
64,Lubbock Christian (Lone Star),36,22,0,0.621,49,1274,390,0.306,404,225,175,3.03,1156,425,56
64,Shippensburg (PSAC),36,22,0,0.621,49,1274,390,0.306,404,225,175,3.03,1156,425,56
66,Embry-Riddle (FL) (Sunshine State),29,18,0,0.617,53,1487,454,0.305,338.2,195,148,3.06,1181,479,59
67,Central Mo. (Mid-America Intercollegiate),30,19,0,0.612,51,1343,410,0.305,377.2,204,166,3.08,1085,405,53
67,West Ala. (Gulf South),30,19,0,0.612,51,1343,410,0.305,377.2,204,166,3.08,1085,405,53
69,Bloomsburg (PSAC),33,21,0,0.611,54,1485,452,0.304,253.1,133,112,3.09,1022,345,49
69,McKendree (GLVC),33,21,0,0.611,54,1485,452,0.304,253.1,133,112,3.09,1022,345,49
69,Southern Nazarene (GAC),33,21,0,0.611,54,1485,452,0.304,253.1,133,112,3.09,1022,345,49
72,Gannon (PSAC),29,19,0,0.604,40,1104,335,0.303,347.1,208,156,3.14,877,440,48
73,Missouri Western (Mid-America Intercollegiate),32,21,0,0.604,51,1302,395,0.303,434,243,195,3.15,1187,511,62
74,Drury (GLVC),35,23,0,0.603,48,1290,391,0.303,366.1,214,165,3.15,1109,479,58
75,Flagler (Peach Belt),33,22,0,0.6,41,1202,364,0.303,357,187,161,3.16,1064,342,52
75,Eckerd (Sunshine State),30,20,0,0.6,41,1202,364,0.303,357,187,161,3.16,1064,342,52
77,Emory & Henry (SAC),31,21,0,0.596,55,1470,444,0.302,412.2,229,188,3.19,899,395,49
77,St. Thomas Aquinas (ECC),31,21,0,0.596,55,1470,444,0.302,412.2,229,188,3.19,899,395,49
77,Washburn (Mid-America Intercollegiate),31,21,0,0.596,55,1470,444,0.302,412.2,229,188,3.19,899,395,49
80,Trevecca Nazarene (Gulf South),28,19,0,0.596,65,1760,530,0.301,353,201,162,3.21,890,266,44
81,Sonoma St. (CCAA),36,25,0,0.59,52,1370,412,0.301,369.2,208,170,3.22,1058,327,53
82,St. Anselm (NE10),23,16,0,0.59,44,1174,353,0.301,309,186,143,3.24,1025,434,56
83,Azusa Pacific (PacWest),31,22,0,0.585,59,1551,466,0.3,347.1,201,161,3.24,1005,422,55
84,Carson-Newman (SAC),28,20,0,0.583,56,1544,463,0.3,387.2,228,181,3.27,1114,405,59
84,Northwood (G-MAC),28,20,0,0.583,56,1544,463,0.3,387.2,228,181,3.27,1114,405,59
86,Dominican (CA) (PacWest),32,23,0,0.582,61,1632,489,0.3,403.2,237,189,3.28,1045,442,58
87,Slippery Rock (PSAC),29,21,0,0.58,62,1699,509,0.3,333.2,189,157,3.29,1014,369,54
