Team,RMAC_Wins,RMAC_Losses,RMAC_Pct,Overall_Wins,Overall_Losses,Overall_Pct
Colorado Christian,36,8,0.818,44,16,0.733
Colorado Mesa,35,9,0.795,40,17,0.702
MSU Denver,34,9,0.791,41,17,0.707
UCCS,26,17,0.605,35,24,0.593
CSU Pueblo,26,18,0.591,27,26,0.509
Black Hills State,25,19,0.568,27,27,0.5
Colorado School of Mines,21,22,0.488,22,32,0.407
Regis,20,24,0.455,21,32,0.396
Chadron State,18,26,0.409,22,28,0.44
Fort Lewis,9,34,0.209,10,38,0.208
New Mexico Highlands,9,35,0.205,15,39,0.278
Adams State,3,41,0.068,5,51,0.089
