Year,Rank,Team,W,L,T,PCT,G,AB,H,BA,IP,R,ER,ERA,PO,A,E
2024,1,UIndy (GLVC),60,7,0,0.896,48,1355,488,0.36,384,87,63,1.15,1132,306,29
2024,2,UT Tyler (Lone Star),58,8,0,0.879,60,1632,585,0.358,445,107,83,1.31,1200,436,37
2024,3,Pittsburg St. (Mid-America Intercollegiate),53,8,0,0.869,56,1520,543,0.357,395.2,103,81,1.43,1229,303,37
2024,4,Charleston (WV) (MEC),51,8,0,0.864,54,1520,538,0.354,391,117,81,1.45,1179,370,38
2024,5,West Tex. A&M (Lone Star),50,8,0,0.862,61,1712,605,0.353,340.2,114,73,1.5,1315,498,45
2024,6,Mississippi Col. (Gulf South),48,9,0,0.842,59,1697,597,0.352,367.1,103,82,1.56,1187,408,40
2024,7,Colo. Christian (RMAC),50,10,0,0.833,61,1692,593,0.35,425.2,138,104,1.71,1065,253,34
2024,7,Virginia St. (CIAA),25,5,0,0.833,61,1692,593,0.35,425.2,138,104,1.71,1065,253,34
2024,9,Wingate (SAC),49,11,0,0.817,57,1520,530,0.349,331.2,110,84,1.77,1033,315,35
2024,10,Western Wash. (Great Northwest),52,12,0,0.813,61,1666,579,0.348,360,121,93,1.81,1080,421,39
2024,11,Colorado Mesa (RMAC),46,11,0,0.807,62,1654,572,0.346,344.2,105,90,1.83,1335,463,47
2024,12,North Georgia (Peach Belt),52,13,0,0.8,58,1555,536,0.345,455,150,121,1.86,1068,387,39
2024,13,Tampa (Sunshine State),43,11,0,0.796,65,1819,625,0.344,377.1,123,102,1.89,1255,372,45
2024,14,Rogers St. (Mid-America Intercollegiate),46,12,0,0.793,52,1424,489,0.343,322,124,88,1.91,1202,351,43
2024,15,Francis Marion (Conference Carolinas),47,13,0,0.783,59,1506,517,0.343,366.1,137,101,1.93,1081,418,42
2024,16,Northwest Nazarene (Great Northwest),41,12,0,0.774,51,1438,487,0.339,366.2,140,102,1.95,1190,413,45
2024,17,AUM (Gulf South),47,14,0,0.77,57,1556,524,0.337,357,120,100,1.96,1099,428,43
2024,18,Augustana (SD) (NSIC),50,15,0,0.769,52,1397,470,0.336,366.1,124,104,1.99,1071,309,39
2024,19,Trevecca Nazarene (G-MAC),47,15,0,0.758,65,1703,572,0.336,406.1,145,116,2,979,339,38
2024,20,Rollins (Sunshine State),37,12,0,0.755,50,1345,445,0.331,303.1,116,87,2.01,922,392,38
