Year,Team,RMAC_Wins,RMAC_Losses,RMAC_Pct,Overall_Wins,Overall_Losses,PCT
2023,Colorado Christian,42,2,0.955,57,6,0.905
2023,MSU Denver,29,13,0.69,34,22,0.607
2023,Regis,28,16,0.636,33,25,0.569
2023,Colorado Mesa,26,15,0.634,32,23,0.582
2023,Colorado School of Mines,24,16,0.6,25,26,0.49
2023,Chadron State,25,19,0.568,27,26,0.509
2023,Fort Lewis,21,21,0.5,23,26,0.469
2023,CSU Pueblo,16,26,0.381,21,30,0.412
2023,New Mexico Highlands,16,27,0.372,20,31,0.392
2023,UCCS,11,31,0.262,14,37,0.275
2023,Adams State,8,32,0.2,11,40,0.216
2023,Black Hills State,8,36,0.182,8,36,0.182
